A235	-98.217311	77.721304	-54.394046	-0.689099	0.711761	0.136161
A181	-61.855693	95.580734	-0.714169	-0.380137	0.919937	0.095988
A38	113.385567	22.804712	61.878113	0.771794	0.199538	0.603753
A230	29.186426	106.127398	-69.845682	0.261417	0.964775	0.029483
A91	124.450694	43.690394	26.619127	0.867509	0.429689	0.250591
A212	61.463801	97.130377	-51.706096	0.299633	0.954020	0.008061
A24	16.034785	45.408208	96.902265	0.204922	0.441046	0.873777
A66	54.725319	78.908039	58.950647	0.182427	0.795137	0.578341
A42	39.337315	64.083755	79.323788	0.178903	0.617171	0.766219
A96	31.598950	92.688982	42.184599	0.140726	0.911582	0.386282
A57	59.558534	-64.399562	71.372258	0.192984	-0.684949	0.702569
A86	98.327227	-63.186378	45.661412	0.582648	-0.686798	0.434546
A56	38.882543	-65.450470	75.932900	0.179193	-0.662197	0.727589
A116	75.495993	-84.953189	29.004321	0.376711	-0.885178	0.273037
A151	125.888340	-45.073129	1.132935	0.871632	-0.489748	-0.020073
A141	-77.818930	-78.066613	33.790216	-0.593169	-0.761233	0.262058
A120	131.777434	-22.710983	22.285050	0.935945	-0.295273	0.191886
A189	-99.528047	-62.919289	-1.083708	-0.780757	-0.618896	0.085947
A80	-30.162499	-80.106496	71.043863	-0.118547	-0.782538	0.611214
A210	-6.196956	-105.208899	-38.138083	0.091826	-0.995312	-0.030359
A143	-36.307704	-98.018255	28.597745	-0.181212	-0.963066	0.199167
A113	10.197190	-94.247667	39.989967	0.135185	-0.938283	0.318357
A27	-47.302774	22.249450	104.727273	-0.296201	0.190641	0.935906
A137	-114.297292	0.458902	41.164852	-0.943499	0.013778	0.331088
A135	-104.260279	44.626491	41.104644	-0.841352	0.432816	0.323725
A167	-103.428649	-54.673348	17.511125	-0.838486	-0.530233	0.125672
A75	-90.304430	-1.080408	80.316048	-0.720189	-0.011155	0.693687
A240	-123.468441	-32.699500	-53.978367	-0.939645	-0.324122	0.109603
A206	-108.330691	-53.944083	-17.924732	-0.839496	-0.533556	0.102782
A107	-95.273752	-40.937969	59.682077	-0.758659	-0.401442	0.513109
A130	-14.381096	100.856584	30.978444	0.022987	0.974057	0.225132
A100	-51.471350	84.376293	57.863345	-0.319740	0.809370	0.492632
A43	19.315429	64.928910	83.251626	0.184503	0.623995	0.759334
A200	-93.531208	76.779845	-15.771674	-0.679051	0.718337	0.151273
A102	-84.005974	57.916833	61.131599	-0.643863	0.553727	0.528041
A132	-56.641031	91.709227	35.841724	-0.363749	0.887296	0.283537
A183	-98.853442	66.925471	3.054069	-0.755264	0.638435	0.148249
A199	-75.011083	90.727898	-17.163725	-0.495671	0.861606	0.109290
A122	134.835998	24.043074	2.107701	0.975276	0.220941	0.004424
A19	100.028858	-1.820812	78.099969	0.632250	-0.059158	0.772503
A62	124.740171	22.924607	44.299525	0.884177	0.196160	0.423973
A21	81.730946	40.459363	81.085183	0.429799	0.385363	0.816559
A229	53.150099	102.160482	-69.591175	0.443537	0.895245	-0.042574
A84	55.970366	-79.739558	53.683247	0.188721	-0.835182	0.516581
A213	39.998233	101.353877	-47.498313	0.117840	0.991588	0.053535
A55	19.786589	-66.794011	79.472441	0.202108	-0.662890	0.720923
A32	16.673361	-48.120948	93.990036	0.198520	-0.494346	0.846293
A85	78.992955	-74.549751	48.400900	0.406160	-0.785030	0.467720
